# KRName IVSes
537F E0108; KRName;CID+11768
537F E0109; KRName;CID+61825
5795 E0101; KRName;CID+13432
5795 E0102; KRName;CID+62202
57CE E0104; KRName;CID+13509
57CE E0105; KRName;CID+61830
5ABA E0104; KRName;CID+15012
5ABA E0105; KRName;CID+15013
6210 E0105; KRName;CID+18532
6210 E0106; KRName;CID+61842
665F E0106; KRName;CID+62378
665F E0107; KRName;CID+20409
6674 E0104; KRName;CID+58885
6674 E0105; KRName;CID+20445
695E E0104; KRName;CID+62437
695E E0105; KRName;CID+21676
6D77 E0104; KRName;CID+58941
6D77 E0105; KRName;CID+23494
76DB E0104; KRName;CID+27839
76DB E0105; KRName;CID+62557
8056 E0105; KRName;CID+32441
8056 E0106; KRName;CID+32439
83BD E0108; KRName;CID+62728
83BD E0109; KRName;CID+34281
865C E0104; KRName;CID+58868
865C E0105; KRName;CID+35866
8941 E0104; KRName;CID+37192
8941 E0105; KRName;CID+62788
8AA0 E0104; KRName;CID+37869
8AA0 E0105; KRName;CID+62805
8ACB E0104; KRName;CID+62808
8ACB E0105; KRName;CID+37958
927C E0103; KRName;CID+41540
927C E0104; KRName;CID+41539
9F9C E0107; KRName;CID+47474
9F9C E0108; KRName;CID+63110
# Unicode Version 6.3 SVSes
4E0D FE00; Standardized_Variants;CID+9521
4E32 FE00; Standardized_Variants;CID+9576
4E39 FE00; Standardized_Variants;CID+9585
4E82 FE00; Standardized_Variants;CID+9678
4E86 FE00; Standardized_Variants;CID+9685
4EAE FE00; Standardized_Variants;CID+9750
4EC0 FE00; Standardized_Variants;CID+9781
4EE4 FE00; Standardized_Variants;CID+9833
4F86 FE00; Standardized_Variants;CID+10071
4F8B FE00; Standardized_Variants;CID+10078
4FBF FE00; Standardized_Variants;CID+10160
502B FE00; Standardized_Variants;CID+10344
50DA FE00; Standardized_Variants;CID+10663
5169 FE00; Standardized_Variants;CID+10925
516D FE00; Standardized_Variants;CID+10936
51B7 FE00; Standardized_Variants;CID+11041
51C9 FE00; Standardized_Variants;CID+11071
51CC FE00; Standardized_Variants;CID+11079
51DC FE00; Standardized_Variants;CID+11107
5207 FE00; Standardized_Variants;CID+11170
5217 FE00; Standardized_Variants;CID+11188
5229 FE00; Standardized_Variants;CID+11214
523A FE00; Standardized_Variants;CID+11237
5289 FE00; Standardized_Variants;CID+11365
529B FE00; Standardized_Variants;CID+11402
52A3 FE00; Standardized_Variants;CID+11410
52D2 FE00; Standardized_Variants;CID+11479
52DE FE00; Standardized_Variants;CID+11498
52F5 FE00; Standardized_Variants;CID+11534
5317 FE00; Standardized_Variants;CID+11591
533F FE00; Standardized_Variants;CID+11674
5375 FE00; Standardized_Variants;CID+11750
53C3 FE00; Standardized_Variants;CID+11874
53E5 FE00; Standardized_Variants;CID+11929
540F FE00; Standardized_Variants;CID+11983
541D FE00; Standardized_Variants;CID+12000
5442 FE00; Standardized_Variants;CID+12067
54BD FE00; Standardized_Variants;CID+12241
5587 FE00; Standardized_Variants;CID+12543
56F9 FE00; Standardized_Variants;CID+13203
585E FE00; Standardized_Variants;CID+13749
58D8 FE00; Standardized_Variants;CID+13957
58DF FE00; Standardized_Variants;CID+13973
5948 FE00; Standardized_Variants;CID+14139
5951 FE00; Standardized_Variants;CID+58863
